ID,income_above_limit
ID_TZ209499,0
ID_TZ209500,0
ID_TZ209501,1
ID_TZ209508,0
ID_TZ209509,0
ID_TZ209510,0
ID_TZ209512,0
ID_TZ209513,0
ID_TZ209514,0
ID_TZ209515,0
ID_TZ209518,0
ID_TZ209519,0
ID_TZ209521,0
ID_TZ209522,0
ID_TZ209525,0
ID_TZ209526,0
ID_TZ209528,0
ID_TZ209530,0
ID_TZ209532,0
ID_TZ209533,0
ID_TZ209534,0
ID_TZ209535,0
ID_TZ209536,0
ID_TZ209537,0
ID_TZ209538,0
ID_TZ209540,0
ID_TZ209542,0
ID_TZ209544,0
ID_TZ209545,0
ID_TZ209550,1
ID_TZ209551,0
ID_TZ209553,0
ID_TZ209554,0
ID_TZ209555,0
ID_TZ209556,0
ID_TZ209557,0
ID_TZ209558,0
ID_TZ209559,0
ID_TZ209560,0
ID_TZ209563,0
ID_TZ209565,0
ID_TZ209566,0
ID_TZ209567,0
ID_TZ209568,0
ID_TZ209570,0
ID_TZ209571,0
ID_TZ209572,0
ID_TZ209573,0
ID_TZ209574,0
ID_TZ209575,0
ID_TZ209577,0
ID_TZ209580,1
ID_TZ209581,0
ID_TZ209582,0
ID_TZ209583,0
ID_TZ209584,0
ID_TZ209586,0
ID_TZ209587,0
ID_TZ209589,0
ID_TZ209590,0
ID_TZ209591,0
ID_TZ209594,0
ID_TZ209595,0
ID_TZ209596,0
ID_TZ209597,0
ID_TZ209598,0
ID_TZ209601,0
ID_TZ209602,0
ID_TZ209604,0
ID_TZ209606,0
ID_TZ209607,0
ID_TZ209608,0
ID_TZ209609,0
ID_TZ209611,0
ID_TZ209612,0
ID_TZ209613,0
ID_TZ209614,0
ID_TZ209615,0
ID_TZ209617,1
ID_TZ209618,0
ID_TZ209619,0
ID_TZ209620,0
ID_TZ209621,0
ID_TZ209622,0
ID_TZ209623,0
ID_TZ209624,0
ID_TZ209625,0
ID_TZ209626,0
ID_TZ209628,0
ID_TZ209629,0
ID_TZ209631,0
ID_TZ209632,0
ID_TZ209633,0
ID_TZ209635,0
ID_TZ209637,0
ID_TZ209638,0
ID_TZ209641,0
ID_TZ209643,0
ID_TZ209646,0
ID_TZ209647,0
ID_TZ209648,0
ID_TZ209649,0
ID_TZ209650,0
ID_TZ209651,0
ID_TZ209654,1
ID_TZ209655,0
ID_TZ209656,0
ID_TZ209658,0
ID_TZ209659,0
ID_TZ209664,0
ID_TZ209665,0
ID_TZ209666,0
ID_TZ209667,0
ID_TZ209668,0
ID_TZ209672,0
ID_TZ209675,0
ID_TZ209676,0
ID_TZ209677,0
ID_TZ209678,0
ID_TZ209680,0
ID_TZ209682,0
ID_TZ209686,0
ID_TZ209687,0
ID_TZ209688,0
ID_TZ209689,0
ID_TZ209690,0
ID_TZ209691,0
ID_TZ209694,0
ID_TZ209695,0
ID_TZ209696,0
ID_TZ209697,1
ID_TZ209698,0
ID_TZ209699,0
ID_TZ209700,0
ID_TZ209701,0
ID_TZ209702,0
ID_TZ209703,0
ID_TZ209704,0
ID_TZ209706,0
ID_TZ209707,0
ID_TZ209708,0
ID_TZ209710,0
ID_TZ209711,0
ID_TZ209712,0
ID_TZ209713,0
ID_TZ209714,0
ID_TZ209715,0
ID_TZ209718,0
ID_TZ209719,1
ID_TZ209723,1
ID_TZ209724,0
ID_TZ209725,0
ID_TZ209726,0
ID_TZ209727,0
ID_TZ209728,0
ID_TZ209729,0
ID_TZ209730,0
ID_TZ209731,0
ID_TZ209732,0
ID_TZ209733,0
ID_TZ209734,1
ID_TZ209735,0
ID_TZ209736,0
ID_TZ209737,0
ID_TZ209739,0
ID_TZ209740,0
ID_TZ209741,0
